LID	Language	Stock	SlotArray	Atr	P	fisher.p	crmv	crmv.crct
2031	Mugil	Madang	-1,2PRS,2PST	0,4,1	3,0,0	0.018449815501845	1	0.913
533	Quechua (Imbabura)	Quechuan	1,2	0,5	1,0	0.166666666666667	1	1
26	Asmat	Macro-Ok	1,2	0,5	2,0	0.0476190476190476	1	1
688	Cora	Uto-Aztecan	-1,-2	0,5	6,0	0.00216450216450217	1	1
2668	Munsee	Algic	-1,1,2,3,4,5,6,7	3,2,0,0,0,1,2,2	3,3,0,0,0,3,2,2	0.970990290097099	0.189	0
54	Choctaw	Muskogean	-1,-2,-3,1	4,4,3,1	4,4,0,0	0.477905220947791	0.408	0.0962
563	Passamaquoddy	Algic	-1,1,10,11,2,3,4,5,6,7,8,9	3,2,0,3,0,0,3,1,0,1,0,0	3,2,0,3,0,0,3,1,0,1,0,0	1	0	0
3010	Lohorung	Sino-Tibetan	1,2,3,4,5,6,7	0,0,2,0,2,1,3	0,2,3,1,1,1,3	0.897261027389726	0.406	0
2098	Mursi	Surmic	-1,1,2	1,0,5	0,4,0	0.004579954200458	1	0.935
1036	Blackfoot	Algic	-1,1,2,3,4,5,6	2,1,0,1,2,2,1	2,2,0,1,2,2,1	1	0.122	0
1973	Menomini	Algic	-1,1,10,2,3,4,5,6,7,8,9	3,1,1,2,3,0,2,0,0,0,2	3,1,1,1,2,0,2,0,0,0,2	1	0.121	0
388	Tzutujil	Mayan	-1,-2	6,0	0,5	0.00216450216450217	1	1
682	Yucatec	Mayan	-1,1,1COM,1INCOM,2	4,0,0,0,2	0,0,6,6,0	8.99991000089999e-05	1	0.935
632	Hayu	Sino-Tibetan	1,2,3,4,5	2,1,0,1,3	2,1,1,2,3	1	0.262	0
103	Hua	Eastern Highlands	-1,0,1	0,3,3	6,0,0	0.002119978800212	1	0.949
559	Murle	Surmic	-1,-2,1,1MPFV,1PRF,2	0,1,0,3,6,0	0,0,0,0,0,4	0.001789982100179	1	0.913
332	Pipil	Uto-Aztecan	-1,-2,1	0,3,1	6,0,0	0.004829951700483	1	0.935
2863	Puma	Sino-Tibetan	-1,-2,-3,1,2,3,4,5	0,1,3,1,4,0,0,1	1,0,1,4,2,0,1,1	0.426565734342657	0.569	0.0892
2544	Tepehuan (Southeastern)	Uto-Aztecan	-1,1,2	0,3,1	5,0,0	0.00760992390076099	1	0.926
674	Limbu	Sino-Tibetan	-1,-2,-3,1,2,3,4,5,6,7,8,9	0,2,1,1,0,1,0,1,0,2,0,1	0,1,1,1,0,1,4,0,0,0,1,1	0.462465375346247	0.661	0
2551	Atikamekw	Algic	-1,1,2,3,4,5,6	2,0,2,1,3,2,2	2,1,2,1,3,2,2	1	0.196	0
2244	Ojibwa (Eastern)	Algic	-1,1,2,3,4,5,6	3,2,0,2,4,0,2	3,2,0,2,4,0,2	1	0	0
21	Amharic	Semitic	-1,1,1IMPF,1PFV,2	5,0,2,6,0	0,0,0,0,6	5.99994000059999e-05	1	0.939
908	Athpare	Sino-Tibetan	-1,-2,1,2,3,4,5,6,7,8	1,2,1,2,0,2,0,0,0,1	0,1,1,3,1,0,1,0,1,1	0.900580994190058	0.602	0
322	Oksapmin	Macro-Ok	-1,1	0,2	2,0	0.333333333333333	1	1
2360	Camling	Sino-Tibetan	-1,1,2,3,4,5	2,1,1,2,0,1	1,1,4,1,1,1	0.874391256087439	0.452	0
113	Ineseño	Chumashan	-1,-2,1	2,3,0	0,0,1	0.167488325116749	1	0.866
2628	Tobati	Austronesian	-1,1	4,0	0,6	0.00476190476190476	1	1
429	Zuni	Zuni	-1,1	0,1	1,0	1	1	NA
167	Maa	Nilotic	-1,-2	6,1	2,0	1	0.189	0
1414	Tirmaga	Surmic	-1,1,2,3IPFV,3PFV	1,0,0,3,7	0,0,4,0,0	0.001529984700153	1	0.92
1105	Chortí	Mayan	-1,1,2	5,0,1	0,5,0	0.00449995500045	1	0.943
572	Nahuatl (Tetelcingo)	Uto-Aztecan	-1,1,2	3,0,1	0,6,0	0.004459955400446	1	0.935
1660	Itzaj	Mayan	-1,1,2,3,3COMPL,3INCOMPL,4	4,0,0,0,0,0,1	0,0,0,0,6,6,0	0.000189998100019	1	0.931
1691	Juang	Austroasiatic	-1,0,1	5,1,2	0,0,6	0.011629883701163	0.75	0.665
1413	Chai	Surmic	-1,1,1IPFV,1PFV,2	1,0,3,4,0	0,0,0,0,3	0.011529884701153	1	0.882
2641	Turkana	Nilotic	-1,-2,1	4,0,1	3,1,0	1	0.478	0
22	Anêm	West New Britain	-1,1	6,0	0,7	0.000582750582750584	1	1
678	Bulgarian	Indo-European	-1,1	0,6	1,0	0.142857142857143	1	1
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	-1,-2,1	0,3,1	6,0,0	0.004719952800472	1	0.935
299	Nandi	Nilotic	-1NSNPST,-1SNPST,1	5,4,0	0,0,4	0.002929970700293	1	0.953
2869	Yagaria	Eastern Highlands	-1,1,2	0,0,7	8,0,0	0.000249997500025	1	1
1954	Menya	Angan	-1,1	0,7	7,0	0.000582750582750584	1	1
1645	Anamuxra	Madang	-1,1,2,3	0,0,0,9	9,0,0,0	5.99994000059999e-05	1	1
2997	Reyesano	Pano-Tacanan	-1,-2,1	0,4,1	0,4,0	1	0.316	0
1136	Chontal Maya	Mayan	-1,1,2,3,4	3,0,0,1,3	0,0,0,2,3	0.428735712642874	0.507	0.288
2996	Yakkha	Sino-Tibetan	-1,1,10,11,12,2,3,4,5,6,7,8,9	1,1,1,0,0,1,0,1,0,0,0,1,1	0,1,1,0,0,1,0,1,1,0,1,0,1	1	0.535	0
637	Yamphu	Sino-Tibetan	1,2,3,4,5,6,7,8,9	0,2,0,3,0,1,2,1,1	0,2,0,3,1,1,2,1,1	1	0.213	0
1439	Dumi	Sino-Tibetan	-1,1,2,3,4	1,0,6,0,2	1,0,6,0,2	1	0	0
