LID	Language	Stock	SlotArray	Atr	P
2031	Mugil	Madang	-1,2PRS,2PST	0,4,1	3,0,0
533	Quechua (Imbabura)	Quechuan	1,2	0,5	1,0
26	Asmat	Macro-Ok	1,2	0,5	2,0
688	Cora	Uto-Aztecan	-1,-2	0,5	6,0
2668	Munsee	Algic	-1,1,2,3,4,5,6,7	3,2,0,0,0,1,2,2	3,3,0,0,0,3,2,2
54	Choctaw	Muskogean	-1,-2,-3,1	4,4,3,1	4,4,0,0
563	Passamaquoddy	Algic	-1,1,10,11,2,3,4,5,6,7,8,9	3,2,0,3,0,0,3,1,0,1,0,0	3,2,0,3,0,0,3,1,0,1,0,0
3010	Lohorung	Sino-Tibetan	1,2,3,4,5,6,7	0,0,2,0,2,1,3	0,2,3,1,1,1,3
2098	Mursi	Surmic	-1,1,2	1,0,5	0,4,0
1036	Blackfoot	Algic	-1,1,2,3,4,5,6	2,1,0,1,2,2,1	2,2,0,1,2,2,1
1973	Menomini	Algic	-1,1,10,2,3,4,5,6,7,8,9	3,1,1,2,3,0,2,0,0,0,2	3,1,1,1,2,0,2,0,0,0,2
388	Tzutujil	Mayan	-1,-2	6,0	0,5
682	Yucatec	Mayan	-1,1,1COM,1INCOM,2	4,0,0,0,2	0,0,6,6,0
632	Hayu	Sino-Tibetan	1,2,3,4,5	2,1,0,1,3	2,1,1,2,3
103	Hua	Eastern Highlands	-1,0,1	0,3,3	6,0,0
559	Murle	Surmic	-1,-2,1,1MPFV,1PRF,2	0,1,0,3,6,0	0,0,0,0,0,4
332	Pipil	Uto-Aztecan	-1,-2,1	0,3,1	6,0,0
2863	Puma	Sino-Tibetan	-1,-2,-3,1,2,3,4,5	0,1,3,1,4,0,0,1	1,0,1,4,2,0,1,1
2544	Tepehuan (Southeastern)	Uto-Aztecan	-1,1,2	0,3,1	5,0,0
674	Limbu	Sino-Tibetan	-1,-2,-3,1,2,3,4,5,6,7,8,9	0,2,1,1,0,1,0,1,0,2,0,1	0,1,1,1,0,1,4,0,0,0,1,1
2551	Atikamekw	Algic	-1,1,2,3,4,5,6	2,0,2,1,3,2,2	2,1,2,1,3,2,2
2244	Ojibwa (Eastern)	Algic	-1,1,2,3,4,5,6	3,2,0,2,4,0,2	3,2,0,2,4,0,2
21	Amharic	Semitic	-1,1,1IMPF,1PFV,2	5,0,2,6,0	0,0,0,0,6
908	Athpare	Sino-Tibetan	-1,-2,1,2,3,4,5,6,7,8	1,2,1,2,0,2,0,0,0,1	0,1,1,3,1,0,1,0,1,1
322	Oksapmin	Macro-Ok	-1,1	0,2	2,0
2360	Camling	Sino-Tibetan	-1,1,2,3,4,5	2,1,1,2,0,1	1,1,4,1,1,1
113	Ineseño	Chumashan	-1,-2,1	2,3,0	0,0,1
2628	Tobati	Austronesian	-1,1	4,0	0,6
429	Zuni	Zuni	-1,1	0,1	1,0
167	Maa	Nilotic	-1,-2	6,1	2,0
