LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4,Language,Stock
6,OBJECT case,Role,NA,N,NA,post,final,Ambulas,Sepik
6,NA,Role,NA,,NA,NA,NA,Ambulas,Sepik
6,NA,,NA,,NA,NA,NA,Ambulas,Sepik
6,NEG,,NA,,NA,post,NA,Ambulas,Sepik
6,PLURAL,Number,NA,N-kin,NA,post,NA,Ambulas,Sepik
6,GEN,Role,NA,N_or_Pro,NA,post,NA,Ambulas,Sepik
7,POSS-AGR,Number;Person,NA,,NA,prae,NA,Abkhaz,West Caucasian
7,NOM,Role,S;T;Aditr;Atr;P;G,,NA,NA,NA,Abkhaz,West Caucasian
7,PAST,TAM,NA,,NA,NA,NA,Abkhaz,West Caucasian
7,AGR,Number;Person;Role,Atr;T;P;Aditr;S,,NA,NA,NA,Abkhaz,West Caucasian
7,NEG,Polarity,NA,V,NA,prae,NA,Abkhaz,West Caucasian
7,PLURAL,Number,NA,,NA,post,NA,Abkhaz,West Caucasian
9,O-AGR,Number;Person;Role,NA,VP,NA,post,final,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,NEG,,NA,,NA,prae,NA,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,ERG,Role,NA,,NA,prae,NA,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Number;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Person;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Person;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Number;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,A-AGR,Clusivity;Person,S;Atr;Aditr;T;P,V,NA,prae,NA,Acehnese,Austronesian
9,ABS,,Aditr;Atr;S;T;P,,NA,NA,NA,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Person;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,<none>,Number,NA,,NA,NA,NA,Acehnese,Austronesian
10,NOM,Role,Atr;S;P,,NA,NA,NA,Acoma,Keresan
10,PLURAL,Number,NA,,NA,post,NA,Acoma,Keresan
10,Possessive prefix,,NA,,NA,prae,NA,Acoma,Keresan
10,NEG,Mood;Polarity,NA,V,NA,simul,NA,Acoma,Keresan
10,AGR,,S;Atr;P,,NA,prae,NA,Acoma,Keresan
10,<none>,Number;Person;TAM,NA,,NA,prae,NA,Acoma,Keresan
11,NA,,NA,,NA,NA,NA,Aikaná,Aikaná
12,AGR,Number;Person;Role,Atr;S,V,-2,NA,NA,Ainu,Ainu
12,<none>,,NA,,NA,NA,NA,Ainu,Ainu
12,AGR,Number;Person;Role,Atr,V,-2,prae,NA,Ainu,Ainu
12,AGR,Number;Person;Role,P,V,-1,prae,NA,Ainu,Ainu
12,AGR,Number;Person;Role,P;Atr;S,V,-2,prae,NA,Ainu,Ainu
12,NA,,NA,N,NA,NA,NA,Ainu,Ainu
12,NOM,Role,G;Aditr;P;Atr;S;T,,NA,NA,NA,Ainu,Ainu
12,NEG,Polarity,NA,VP,NA,prae,initial,Ainu,Ainu
12,AGR,Number;Person;Role,P;G;Atr;Aditr;S,V,NA,split,NA,Ainu,Ainu
12,AGR,Number;Person;Role,P,V,-1,prae,NA,Ainu,Ainu
12,NA,,NA,N,NA,NA,NA,Ainu,Ainu
12,AGR,Number;Person;Role,P;Atr;S,V,-2,NA,NA,Ainu,Ainu
12,AGR,Number;Person;Role,S,V,1,NA,NA,Ainu,Ainu
13,NA,,NA,,NA,NA,NA,Aiwo,Austronesian
14,NA,,NA,,NA,NA,NA,Alamblak,Sepik
14,NOM,Role,Atr;T;Aditr;G;S;P,,NA,NA,NA,Alamblak,Sepik
14,NEG.FOC,Polarity,NA,,NA,prae,NA,Alamblak,Sepik
14,PLURAL,Number,NA,,NA,post,NA,Alamblak,Sepik
14,NEG,Polarity,NA,V,NA,prae,NA,Alamblak,Sepik
14,SS,,NA,,NA,NA,NA,Alamblak,Sepik
14,TENSE,TAM,NA,,NA,NA,NA,Alamblak,Sepik
