LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4
9,A-AGR,Clusivity;Person,S;Atr;Aditr;T;P,V,NA,prae,NA
35,PAST,TAM,NA,V,NA,post,NA
35,O-AGR,Number;Person;Role,S;P;Aditr;Atr;G,,NA,split,NA
35,S-AGR,Number;Person;Role,NA,,NA,split,NA
35,ERG,Role,Atr;Aditr;P,NP,NA,post,final
35,A-AGR,Number;Person;Role,NA,V,NA,split,NA
35,ABS,Role,S;Atr;P;T;G;Aditr,,NA,prae,final
35,POSS-AGR,Number;Person;Role,S,NP,NA,prae,final
35,BENEF,Role,NA,,NA,post,final
56,AGR,Role,NA,N,NA,post,NA
59,AGR,Number;Person;Role,NA,V,NA,prae,NA
59,AGR,Number;Person;Role,NA,V,NA,post,NA
59,AGR,Role,NA,V,2,post,NA
59,DIR,Role,NA,V,NA,post,NA
74,PAST,Tense,NA,V,NA,post,NA
74,ACC,Role,G;T;P,Pro,NA,post,final
74,[NP],,NA,,NA,NA,NA
74,AGR,Number;Person;Role,Aditr;S;Atr,V,NA,post,final
74,DAT,Role,NA,NP,NA,prae,initial
77,S/A-AGR,Number;Person;Role,NA,V,NA,prae,NA
87,PAST,TAM,NA,V,NA,post,NA
87,NOM,,Atr;Aditr;P;S;G;T,N_or_Pro,NA,post,spreading
87,ACC,Number;Role,S;T;Atr;G;P,N_or_Pro,NA,post,spreading
87,S/A-AGR,Honorificity;Number;Person;Role,S;Atr;Aditr;P,V,NA,post,spreading
87,DAT,,S;P;G;Atr,N_or_Pro,NA,post,spreading
87,GEN,,P;G,N_or_Pro,NA,post,spreading
99,NOM,,Atr;Aditr;S;P;T,N_or_Pro,NA,post,spreading
99,ERG,Role,Atr;S;Aditr,NP,NA,post,final
99,DAT,,P;T;Atr;G;S,NP,NA,post,final
99,AGR,Honorificity;Number;Person;Role,Atr;Aditr;S;P;T,,NA,post,final
99,GEN,Role,Aditr;S;Atr,NP,NA,post,final
99,OBL,Number;Person;Role,NA,,NA,post,spreading
99,BENEF,Role,NA,,NA,post,final
110,NOM,Number;Role,Atr;P;Aditr;S;T,N_or_Pro,NA,post,spreading
110,ACC,Number;Role,S;Atr;P;T,N_or_Pro,NA,post,spreading
110,[NP],,NA,,NA,NA,NA
110,AGR,Number;Person;Role,S;Atr;Aditr,V,NA,post,NA
110,DAT,Number;Role,S;G;Atr;P,N_or_Pro,NA,post,spreading
110,GEN,Number;Role,Atr;P;S,N_or_Pro,NA,post,spreading
114,Gender,Role,NA,,NA,prae,NA
114,ABS,,NA,,NA,post,initial
114,ERG,Role,NA,,NA,post,spreading
114,DAT,,NA,,NA,post,spreading
114,LOC,,NA,,NA,post,spreading
114,ALL,Role,NA,,NA,post,spreading
114,GEN,Role,NA,,NA,post,spreading
128,ACC,Number;Role;TAM,NA,,NA,post,spreading
128,ACC,Role;TAM,NA,,NA,post,spreading
128,ACC,Role;TAM,NA,,NA,post,spreading
128,ACC,Role;TAM,NA,,NA,post,spreading
128,ACC,Role;TAM,NA,,NA,post,spreading
128,NOM,Role;TAM,NA,,NA,post,spreading
128,OBL,Role,NA,,NA,post,spreading
128,ABL,Role,NA,,NA,post,spreading
128,DAT,Role,NA,,NA,post,spreading
128,ALL,Role,NA,,NA,post,spreading
128,ACC,Role,NA,,NA,post,spreading
128,ALL,Role,NA,,NA,post,spreading
128,OBL,Role,NA,,NA,post,spreading
154,O-AGR,Number;Person;Role,NA,V,NA,split,NA
154,FUT,TAM,NA,V,NA,post,NA
154,DIR,TAM,NA,V,NA,post,NA
154,PROGR,TAM,NA,V,NA,post,NA
154,NEG,Polarity,NA,V,NA,post,NA
154,ERG,Role,Aditr;Atr,NP,NA,post,final
154,S/A-AGR,Number;Person;Role,NA,V,NA,prae,final
154,ABS,Role,P;T;G;S,NP,NA,post,final
169,NN-AGR,Honorificity;Person;Role,NA,,NA,post,NA
169,NOM,Role,T;P;Aditr;S;Atr,,NA,post,final
169,AGR,Honorificity;Person;Role,NA,,NA,post,final
169,DAT,,P;Atr;G;Aditr;S,,NA,post,final
169,GEN,,NA,,NA,post,final
169,BENEF,Role,NA,,NA,post,final
171,[NP],,NA,,NA,NA,NA
171,[NP],,NA,,NA,NA,NA
171,[NP],,NA,,NA,NA,NA
171,DOM,Role,NA,,NA,prae,initial
175,NOM,Role,S;Atr;Aditr,,NA,prae,NA
175,ACC,Role,T;P,,NA,prae,initial
175,DAT,Role,NA,,NA,prae,initial
176,PAST,Person;Role;TAM,NA,,NA,post,NA
176,<none>,,T;Aditr;S;P;Atr;G,,NA,NA,NA
206,NOM,,NA,,NA,post,NA
206,ERG,,NA,,NA,post,final
206,DAT,,NA,,NA,post,final
206,AGR,Honorificity;Number;Person;Role,Aditr;Atr;S,,NA,post,final
206,BENEF,Role,NA,,NA,post,final
226,NEG,Polarity,NA,V,NA,simul,NA
226,NEG.FOC,,NA,V,NA,prae,NA
226,FUT,,NA,,NA,prae,NA
226,MOD,,NA,V,NA,prae,NA
