LID	Language	Stock	HOST.CAT	Category	Position.binned5	SLOTS	SLOTS.USED	PARTITION	ENTROPY	PROB	CLUST.INDEX
480	Amanab	Border	V	S	prae	1	1	[2]	0.0	1.0	0.0
480	Amanab	Border	V	Aditr	prae	1	1	[2]	0.0	1.0	0.0
79	French (colloquial)	Indo-European	V	Aditr	post	1	1	[2]	0.0	1.0	0.0
79	French (colloquial)	Indo-European	V	S	post	1	1	[2]	0.0	1.0	0.0
3250	Xingú Asuriní	Tupian	V	P	prae	1	1	[2]	0.0	1.0	0.0
79	French (colloquial)	Indo-European	V	Atr	post	1	1	[2]	0.0	1.0	0.0
2951	Karajá	Macro-Ge	V	Atr	prae	1	1	[2]	0.0	1.0	0.0
480	Amanab	Border	V	Atr	prae	1	1	[2]	0.0	1.0	0.0
2951	Karajá	Macro-Ge	V	S	prae	1	1	[2]	0.0	1.0	0.0
429	Zuni	Zuni	V	S	prae	2	2	[1, 1]	1.0	0.5	0.0
1063	Baure	Arawakan	V	P	post	2	1	[2]	0.0	0.5	0.5
322	Oksapmin	Macro-Ok	V	G	prae	2	1	[2]	0.0	0.5	0.5
322	Oksapmin	Macro-Ok	V	P	prae	2	1	[2]	0.0	0.5	0.5
322	Oksapmin	Macro-Ok	V	T	prae	2	1	[2]	0.0	0.5	0.5
2172	Nganasan	Uralic	V	P	post	2	1	[2]	0.0	0.5	0.5
322	Oksapmin	Macro-Ok	V	Atr	post	2	1	[2]	0.0	0.5	0.5
678	Bulgarian	Indo-European	V	G	post	2	1	[2]	0.0	0.5	0.5
322	Oksapmin	Macro-Ok	V	Aditr	post	2	1	[2]	0.0	0.5	0.5
322	Oksapmin	Macro-Ok	V	S	post	2	1	[2]	0.0	0.5	0.5
26	Asmat	Macro-Ok	V	P	post	2	1	[2]	0.0	0.5	0.5
167	Maa	Nilotic	V	P	prae	2	1	[2]	0.0	0.5	0.5
2958	Keresan (Laguna)	Keresan	V	Atr	in	7	1	[2]	0.0	0.142857142857	0.857142857143
1136	Chontal Maya	Mayan	V	G	post	5	1	[2]	0.0	0.2	0.8
1136	Chontal Maya	Mayan	V	T	post	5	1	[2]	0.0	0.2	0.8
28	Awtuw	Sepik	V	Aditr	post	9	2	[1, 1]	1.0	0.888888888889	0.0
28	Awtuw	Sepik	V	S	prae	9	2	[1, 1]	1.0	0.888888888889	0.0
28	Awtuw	Sepik	V	Atr	prae	9	2	[1, 1]	1.0	0.888888888889	0.0
1388	Darmiya	Sino-Tibetan	V	Atr	post	1	1	[3]	0.0	1.0	0.0
1014	Biak	Austronesian	V	Atr	prae	1	1	[3]	0.0	1.0	0.0
1388	Darmiya	Sino-Tibetan	V	S	post	1	1	[3]	0.0	1.0	0.0
1014	Biak	Austronesian	V	Aditr	prae	1	1	[3]	0.0	1.0	0.0
1014	Biak	Austronesian	V	S	prae	1	1	[3]	0.0	1.0	0.0
1010	Binandere	Greater Binanderean	V	Atr	post	2	1	[3]	0.0	0.25	0.75
1010	Binandere	Greater Binanderean	V	S	post	2	1	[3]	0.0	0.25	0.75
1010	Binandere	Greater Binanderean	V	Aditr	post	2	1	[3]	0.0	0.25	0.75
2031	Mugil	Madang	V	P	prae	3	1	[3]	0.0	0.111111111111	0.888888888889
2031	Mugil	Madang	V	T	prae	3	1	[3]	0.0	0.111111111111	0.888888888889
681	Khanty	Uralic	V	P	post	3	1	[3]	0.0	0.111111111111	0.888888888889
1413	Chai	Surmic	V	P	post	5	1	[3]	0.0	0.04	0.96
2958	Keresan (Laguna)	Keresan	V	S	in	7	2	[2, 1]	0.918295834054	0.367346938776	0.612244897959
186	Mixtec (Chalcatongo)	Otomanguean	V	S	post	1	1	[4]	0.0	1.0	0.0
583	Hebrew (Modern)	Semitic	V	Atr	post	1	1	[4]	0.0	1.0	0.0
1890	Lithuanian	Indo-European	V	S	post	1	1	[4]	0.0	1.0	0.0
1578	Golin	Chimbu-Wahgi	V	Aditr	post	1	1	[4]	0.0	1.0	0.0
583	Hebrew (Modern)	Semitic	V	Aditr	post	1	1	[4]	0.0	1.0	0.0
583	Hebrew (Modern)	Semitic	V	S	post	1	1	[4]	0.0	1.0	0.0
186	Mixtec (Chalcatongo)	Otomanguean	V	Atr	post	1	1	[4]	0.0	1.0	0.0
1890	Lithuanian	Indo-European	V	Atr	post	1	1	[4]	0.0	1.0	0.0
460	Jacaltec	Mayan	V	P	prae	2	1	[4]	0.0	0.125	0.875
2628	Tobati	Austronesian	V	S	prae	2	1	[4]	0.0	0.125	0.875
2628	Tobati	Austronesian	V	Atr	prae	2	1	[4]	0.0	0.125	0.875
27	Atakapa	Atakapa	V	S	post	2	1	[4]	0.0	0.125	0.875
460	Jacaltec	Mayan	V	S	prae	2	1	[4]	0.0	0.125	0.875
27	Atakapa	Atakapa	V	Atr	post	2	1	[4]	0.0	0.125	0.875
460	Jacaltec	Mayan	V	Atr	prae	2	1	[4]	0.0	0.125	0.875
167	Maa	Nilotic	V	S	prae	2	1	[4]	0.0	0.125	0.875
2772	Koegu	Surmic	V	S	post	2	2	[2, 2]	1.0	0.375	0.0
2772	Koegu	Surmic	V	Atr	post	2	2	[2, 2]	1.0	0.375	0.0
2251	Olo	Torricelli	V	G	split	3	1	[4]	0.0	0.037037037037	0.962962962963
12	Ainu	Ainu	V	Atr	NA	3	1	[4]	0.0	0.037037037037	0.962962962963
2098	Mursi	Surmic	V	P	post	3	1	[4]	0.0	0.037037037037	0.962962962963
299	Nandi	Nilotic	V	P	post	3	1	[4]	0.0	0.037037037037	0.962962962963
2997	Reyesano	Pano-Tacanan	V	P	prae	3	1	[4]	0.0	0.037037037037	0.962962962963
12	Ainu	Ainu	V	S	prae	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
332	Pipil	Uto-Aztecan	V	Atr	prae	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
2544	Tepehuan (Southeastern)	Uto-Aztecan	V	Atr	post	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
572	Nahuatl (Tetelcingo)	Uto-Aztecan	V	Atr	post	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	V	Atr	prae	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
572	Nahuatl (Tetelcingo)	Uto-Aztecan	V	S	NA	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
2641	Turkana	Nilotic	V	P	prae	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
332	Pipil	Uto-Aztecan	V	S	prae	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	V	S	prae	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
2544	Tepehuan (Southeastern)	Uto-Aztecan	V	S	post	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
2548	Teso	Nilotic	V	P	prae	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
113	Ineseño	Chumashan	V	Aditr	prae	3	2	[2, 2]	1.0	0.222222222222	0.444444444444
