LID	Language	Stock	Category	SLOTS	SLOTS.USED	PARTITION	ENTROPY	PROB	CLUST.INDEX
1063	Baure	Arawakan	P	2	1	[2]	0	0.5	0.5
322	Oksapmin	Macro-Ok	P	2	1	[2]	0	0.5	0.5
2172	Nganasan	Uralic	P	2	1	[2]	0	0.5	0.5
322	Oksapmin	Macro-Ok	Atr	2	1	[2]	0	0.5	0.5
26	Asmat	Macro-Ok	P	2	1	[2]	0	0.5	0.5
167	Maa	Nilotic	P	2	1	[2]	0	0.5	0.5
2958	Keresan (Laguna)	Keresan	Atr	7	1	[2]	0	0.142857142857	0.857142857143
28	Awtuw	Sepik	Atr	9	2	[1, 1]	1	0.888888888889	0
1010	Binandere	Greater Binanderean	Atr	2	1	[3]	0	0.25	0.75
2031	Mugil	Madang	P	3	1	[3]	0	0.111111111111	0.888888888889
681	Khanty	Uralic	P	3	1	[3]	0	0.111111111111	0.888888888889
1413	Chai	Surmic	P	5	1	[3]	0	0.04	0.96
460	Jacaltec	Mayan	P	2	1	[4]	0	0.125	0.875
2628	Tobati	Austronesian	Atr	2	1	[4]	0	0.125	0.875
27	Atakapa	Atakapa	Atr	2	1	[4]	0	0.125	0.875
460	Jacaltec	Mayan	Atr	2	1	[4]	0	0.125	0.875
2772	Koegu	Surmic	Atr	2	2	[2, 2]	1	0.375	0
12	Ainu	Ainu	Atr	3	1	[4]	0	0.037037037037	0.962962962963
2098	Mursi	Surmic	P	3	1	[4]	0	0.037037037037	0.962962962963
299	Nandi	Nilotic	P	3	1	[4]	0	0.037037037037	0.962962962963
2997	Reyesano	Pano-Tacanan	P	3	1	[4]	0	0.037037037037	0.962962962963
332	Pipil	Uto-Aztecan	Atr	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
2544	Tepehuan (Southeastern)	Uto-Aztecan	Atr	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
572	Nahuatl (Tetelcingo)	Uto-Aztecan	Atr	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	Atr	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
2641	Turkana	Nilotic	P	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
2548	Teso	Nilotic	P	3	2	[3, 1]	0.811278124459	0.296296296296	0.666666666667
12	Ainu	Ainu	P	3	2	[2, 2]	1	0.222222222222	0.444444444444
2998	Jero	Sino-Tibetan	P	3	3	[2, 1, 1]	1.5	0.444444444444	0
1414	Tirmaga	Surmic	P	5	1	[4]	0	0.008	0.992
3062	Iyo	Finisterre-Huon	P	5	2	[3, 1]	0.811278124459	0.128	0.864
559	Murle	Surmic	P	6	1	[4]	0	0.00462962962963	0.99537037037
1348	Nubian (Kunuz)	Nubian	Atr	7	1	[4]	0	0.00291545189504	0.997084548105
3096	Dogon (Nanga)	Dogon	Atr	2	1	[5]	0	0.0625	0.9375
533	Quechua (Imbabura)	Quechuan	Atr	2	1	[5]	0	0.0625	0.9375
26	Asmat	Macro-Ok	Atr	2	1	[5]	0	0.0625	0.9375
688	Cora	Uto-Aztecan	Atr	2	1	[5]	0	0.0625	0.9375
388	Tzutujil	Mayan	P	2	1	[5]	0	0.0625	0.9375
337	Quiche	Mayan	P	2	1	[5]	0	0.0625	0.9375
1155	Cakchiquel	Mayan	P	2	1	[5]	0	0.0625	0.9375
9	Acehnese	Austronesian	P	3	1	[5]	0	0.0123456790123	0.987654320988
502	Turkish	Turkic	Atr	3	1	[5]	0	0.0123456790123	0.987654320988
1105	Chortí	Mayan	P	3	1	[5]	0	0.0123456790123	0.987654320988
2544	Tepehuan (Southeastern)	Uto-Aztecan	P	3	1	[5]	0	0.0123456790123	0.987654320988
361	Swahili	Benue-Congo	Atr	3	1	[5]	0	0.0123456790123	0.987654320988
361	Swahili	Benue-Congo	P	3	1	[5]	0	0.0123456790123	0.987654320988
9	Acehnese	Austronesian	Atr	3	1	[5]	0	0.0123456790123	0.987654320988
113	Ineseño	Chumashan	Atr	3	2	[3, 2]	0.970950594455	0.246913580247	0.617283950617
2031	Mugil	Madang	Atr	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2251	Olo	Torricelli	P	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2641	Turkana	Nilotic	Atr	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2997	Reyesano	Pano-Tacanan	Atr	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
885	Amuesha	Arawakan	Atr	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
1763	Khakas	Turkic	Atr	4	1	[5]	0	0.00390625	0.99609375
3062	Iyo	Finisterre-Huon	Atr	5	1	[5]	0	0.0016	0.9984
1136	Chontal Maya	Mayan	P	5	2	[3, 2]	0.970950594455	0.064	0.9024
1660	Itzaj	Mayan	Atr	7	2	[4, 1]	0.721928094887	0.0124947938359	0.987088713036
3068	Emerillon	Tupian	P	2	2	[5, 1]	0.650022421648	0.1875	0.78125
27	Atakapa	Atakapa	P	2	1	[6]	0	0.03125	0.96875
388	Tzutujil	Mayan	Atr	2	1	[6]	0	0.03125	0.96875
688	Cora	Uto-Aztecan	P	2	1	[6]	0	0.03125	0.96875
22	Anêm	West New Britain	Atr	2	1	[6]	0	0.03125	0.96875
678	Bulgarian	Indo-European	Atr	2	1	[6]	0	0.03125	0.96875
2628	Tobati	Austronesian	P	2	1	[6]	0	0.03125	0.96875
111	Ik	Kuliak	Atr	2	1	[6]	0	0.03125	0.96875
3068	Emerillon	Tupian	Atr	2	1	[6]	0	0.03125	0.96875
3131	Guaraní (Mbyá)	Tupian	Atr	2	1	[6]	0	0.03125	0.96875
1063	Baure	Arawakan	Atr	2	1	[6]	0	0.03125	0.96875
337	Quiche	Mayan	Atr	2	1	[6]	0	0.03125	0.96875
2098	Mursi	Surmic	Atr	3	2	[5, 1]	0.650022421648	0.0493827160494	0.946502057613
1105	Chortí	Mayan	Atr	3	2	[5, 1]	0.650022421648	0.0493827160494	0.946502057613
2548	Teso	Nilotic	Atr	3	2	[5, 1]	0.650022421648	0.0493827160494	0.946502057613
103	Hua	Eastern Highlands	Atr	3	2	[3, 3]	1	0.082304526749	0.740740740741
103	Hua	Eastern Highlands	P	3	1	[6]	0	0.00411522633745	0.995884773663
387	Tuva	Turkic	Atr	3	1	[6]	0	0.00411522633745	0.995884773663
885	Amuesha	Arawakan	P	3	1	[6]	0	0.00411522633745	0.995884773663
572	Nahuatl (Tetelcingo)	Uto-Aztecan	P	3	1	[6]	0	0.00411522633745	0.995884773663
2882	Berber (Kabyle)	Berber	P	3	1	[6]	0	0.00411522633745	0.995884773663
1691	Juang	Austroasiatic	P	3	1	[6]	0	0.00411522633745	0.995884773663
332	Pipil	Uto-Aztecan	P	3	1	[6]	0	0.00411522633745	0.995884773663
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	P	3	1	[6]	0	0.00411522633745	0.995884773663
682	Yucatec	Mayan	Atr	5	2	[4, 2]	0.918295834054	0.0192	0.9728
21	Amharic	Semitic	P	5	1	[6]	0	0.00032	0.99968
3044	Gurage (Sebat Bet)	Semitic	P	5	1	[6]	0	0.00032	0.99968
1775	Kulung	Sino-Tibetan	Atr	5	4	[2, 2, 1, 1]	1.91829583405	0.3456	0.1152
3131	Guaraní (Mbyá)	Tupian	P	2	2	[6, 1]	0.591672778582	0.109375	0.875
167	Maa	Nilotic	Atr	2	2	[6, 1]	0.591672778582	0.109375	0.875
3040	Tamashek (Mali)	Berber	Atr	2	2	[4, 3]	0.985228136034	0.546875	0
3042	Tamashek (Burkin Faso)	Berber	Atr	2	2	[4, 3]	0.985228136034	0.546875	0
571	Tamazight (Ayt Ndhir)	Berber	Atr	2	2	[4, 3]	0.985228136034	0.546875	0
3039	Ghomara	Berber	Atr	2	2	[4, 3]	0.985228136034	0.546875	0
750	Berber (Figuig)	Berber	Atr	2	2	[4, 3]	0.985228136034	0.546875	0
1954	Menya	Angan	Atr	2	1	[7]	0	0.015625	0.984375
1954	Menya	Angan	P	2	1	[7]	0	0.015625	0.984375
22	Anêm	West New Britain	P	2	1	[7]	0	0.015625	0.984375
871	Araki	Austronesian	Atr	2	1	[7]	0	0.015625	0.984375
1791	Baale	Surmic	Atr	3	2	[6, 1]	0.591672778582	0.0192043895748	0.979423868313
2869	Yagaria	Eastern Highlands	Atr	3	1	[7]	0	0.00137174211248	0.998628257888
2251	Olo	Torricelli	Atr	3	1	[7]	0	0.00137174211248	0.998628257888
1136	Chontal Maya	Mayan	Atr	5	3	[3, 3, 1]	1.44881563573	0.05376	0.83328
632	Hayu	Sino-Tibetan	Atr	5	4	[3, 2, 1, 1]	1.84237099318	0.32256	0.37632
2360	Camling	Sino-Tibetan	Atr	6	5	[2, 2, 1, 1, 1]	2.23592635063	0.270061728395	0.054012345679
2996	Yakkha	Sino-Tibetan	P	13	7	[1, 1, 1, 1, 1, 1, 1]	2.80735492206	0.137830189676	1.11022302463e-16
2996	Yakkha	Sino-Tibetan	Atr	13	7	[1, 1, 1, 1, 1, 1, 1]	2.80735492206	0.137830189676	1.11022302463e-16
2882	Berber (Kabyle)	Berber	Atr	3	3	[4, 3, 1]	1.40563906223	0.256058527663	0.448102423411
2869	Yagaria	Eastern Highlands	P	3	1	[8]	0	0.000457247370828	0.999542752629
681	Khanty	Uralic	Atr	3	1	[8]	0	0.000457247370828	0.999542752629
1691	Juang	Austroasiatic	Atr	3	3	[5, 2, 1]	1.2987949407	0.153635116598	0.704160951075
54	Choctaw	Muskogean	P	4	2	[4, 4]	1	0.00640869140625	0.976684570312
1413	Chai	Surmic	Atr	5	3	[4, 3, 1]	1.40563906223	0.043008	0.9203712
2999	Old Thulung (Mukli)	Sino-Tibetan	Atr	6	5	[4, 1, 1, 1, 1]	2	0.0300068587106	0.534122085048
3010	Lohorung	Sino-Tibetan	Atr	7	4	[3, 2, 2, 1]	1.90563906223	0.122397980433	0.731327933089
340	Russian	Indo-European	Atr	2	1	[9]	0	0.00390625	0.99609375
2172	Nganasan	Uralic	Atr	2	1	[9]	0	0.00390625	0.99609375
2998	Jero	Sino-Tibetan	Atr	3	3	[5, 3, 1]	1.35164411515	0.153635116598	0.680688919372
299	Nandi	Nilotic	Atr	3	2	[5, 4]	0.991076059838	0.0384087791495	0.911141594269
1645	Anamuxra	Madang	Atr	4	1	[9]	0	1.52587890625e-05	0.999984741211
1645	Anamuxra	Madang	P	4	1	[9]	0	1.52587890625e-05	0.999984741211
1439	Dumi	Sino-Tibetan	P	5	3	[6, 2, 1]	1.22439444541	0.00774144	0.98853888
1439	Dumi	Sino-Tibetan	Atr	5	3	[6, 2, 1]	1.22439444541	0.00774144	0.98853888
632	Hayu	Sino-Tibetan	P	5	5	[3, 2, 2, 1, 1]	2.19715972342	0.2322432	0.0580608
