LID	Language	Stock	Category	SlotsN	Partition	HostCat	Position.binned5	Behavior.binned4
2031	Mugil	Madang	Atr	3	[4, 1]	V	post	NA
3096	Dogon (Nanga)	Dogon	Atr	2	[5]	V	post	NA
113	Ineseño	Chumashan	Aditr	3	[2, 2]	V	prae	NA
2551	Atikamekw	Algic	P	7	[3, 2, 2, 2, 2, 1, 1]	V	post	NA
57	Chuvash	Turkic	Atr	2	[6, 5]	V	post	NA
549	Latvian	Indo-European	Atr	1	[6]	V	post	NA
2548	Teso	Nilotic	S	3	[5, 1]	V	post	NA
2996	Yakkha	Sino-Tibetan	P	13	[1, 1, 1, 1, 1, 1, 1]	V	post	NA
480	Amanab	Border	S	1	[2]	V	prae	NA
1704	Kamaiurá	Tupian	S	1	[7]	V	prae	NA
533	Quechua (Imbabura)	Quechuan	Atr	2	[5]	V	post	NA
26	Asmat	Macro-Ok	Atr	2	[5]	V	post	NA
1791	Baale	Surmic	S	3	[6, 1]	V	post	NA
1750	Kharia	Austroasiatic	Atr	2	[10]	V	post	NA
1413	Chai	Surmic	P	5	[3]	V	post	NA
563	Passamaquoddy	Algic	S	12	[3, 2, 2, 1, 1]	V	post	NA
12	Ainu	Ainu	P	3	[2, 2]	V	prae	NA
456	Persian	Indo-European	Aditr	2	[6, 5]	V	NA	NA
688	Cora	Uto-Aztecan	Atr	2	[5]	V	prae	NA
1036	Blackfoot	Algic	S	7	[2, 2, 2, 1, 1]	V	post	NA
2668	Munsee	Algic	Atr	8	[3, 2, 2, 2, 1]	V	post	NA
1142	Cheyenne	Algic	S	7	[3, 3, 3]	V	prae	NA
480	Amanab	Border	Aditr	1	[2]	V	prae	NA
2980	Koyi	Sino-Tibetan	P	4	[6, 5, 1]	V	post	NA
54	Choctaw	Muskogean	Atr	4	[4, 4, 3, 1]	V	prae	NA
460	Jacaltec	Mayan	P	2	[4]	V	prae	NA
648	Bororo	Macro-Ge	S	1	[6]	V	prae	NA
340	Russian	Indo-European	Atr	2	[9]	V	post	NA
