session.id	speaker.id	word.id	morphemes	word.transcription	glosses	types	ids	record.id	subcorpus	genre	spkr.age	pref.seq	cat.seq	bigram.type
clldch2r02s06	1	391055	mai u ta la t a ŋs e	maiutalataŋse	NEG 3nsS/A come TEL NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix suffix	1199 1201 2192 SRS347 2458 1202 6702 1234	CLLDCh2R02S06.0034	CLLD	Conversation	15516	mai.u	neg.ag	"ag,neg"
clldch2r04s01	1	417857	na mai chokt u ŋs e	namaichoktoŋse	3>2 NEG give 3P PRF IND.PST	prefix prefix stem suffix suffix suffix	1200 1199 874 2459 6702 1234	CLLDCh2R04S01.0905	CLLD	Conversation	15571	na.mai	pat.neg	"neg,pat"
clldch2r04s01	1	416829	u mai ta th a ŋs a ce e	umaitataŋsace	3nsS/A NEG come NEG PST PRF PST d IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1201 1199 2192 2458 1202 6702 1202 1203 1234	CLLDCh2R04S01.0417	CLLD	Conversation	15571	u.mai	ag.neg	"ag,neg"
clldch2r04s01	1	416827	u mai ta yokt a ce e	umaitaoktace	3nsS/A NEG come NEG PST d IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 2192 2460 1202 1203 1234	CLLDCh2R04S01.0415	CLLD	Conversation	15571	u.mai	ag.neg	"ag,neg"
cldlch3r02s04	2	120931	na mai khokt yokt e	namakhoʔyokte	3>2 NEG chop NEG IND.PST	prefix prefix stem suffix suffix	1200 1199 1390 2460 1234	CLDLCh3R02S04.0185	CLDL	Conversation	11191	na.mai	pat.neg	"neg,pat"
cldlch3r04s07	2	143778	u mai ta mai rett yokt e	umatamareiʔyokte	3nsS/A NEG FOC NEG laugh NEG IND.PST	prefix prefix stem prefix stem suffix suffix	1201 1199 496 1199 411 2460 1234	CLDLCh3R04S07.149	CLDL	Conversation	11315	u.mai	ag.neg	"ag,neg"
clldch3r08s06	3	674692	mai u mett th a k a ce e	maumeʔtakace	NEG 3nsS/A be.big NEG PST IPFV PST d IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1199 1201 1656 2458 1202 ROS38 1202 1203 1234	CLLDCh3R08S06.0737	CLLD	Conversation	12777	mai.u	neg.ag	"ag,neg"
clldch3r02s04	3	589142	mai u par yakt a go	maiupayaktago	NEG 3nsS/A grow NEG PST NMLZ	prefix prefix stem suffix suffix suffix	1199 1201 349 2460 1202 1119	CLLDCh3R02S04.0261	CLLD	Conversation	12596	mai.u	neg.ag	"ag,neg"
clldch3r12s01	3	721947	u mai ŋis yokt e	umaniokte	3nsS/A NEG know NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 335 2460 1234	CLLDCh3R12S01.062	CLLD	Conversation	12924	u.mai	ag.neg	"ag,neg"
clldch3r02s03	3	582869	u kha patt a ŋs a kha	ukhapattansakha	3sA 1nsP call PST PRF PST NMLZ	prefix prefix stem suffix suffix suffix suffix	1201 655 1842 1202 6702 1202 1335	CLLDCh3R02S03.0404	CLLD	Conversation	12595	u.kha	ag.pat	"ag,pat"
