session.id	speaker.id	word.id	morphemes	word.transcription	glosses	types	ids	record.id	subcorpus	genre	spkr.age	pref.seq	cat.seq	bigram.type	left	subj.marker	ref.marker	ref.category	sesh.seq	prime.distance	prime.cat.seq	prime.subj.marker	prime.seq	prime.subj	lex.stem
clldch2r02s06	1	391055	mai u ta la t a ŋs e	maiutalataŋse	NEG 3nsS/A come TEL NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix suffix	1199 1201 2192 SRS347 2458 1202 6702 1234	CLLDCh2R02S06.0034	CLLD	Conversation	15516	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	34	Inf	NA	NA	#NAME?	unknown	/ta/ 'come'
clldch2r04s01	1	416829	u mai ta th a ŋs a ce e	umaitataŋsace	3nsS/A NEG come NEG PST PRF PST d IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1201 1199 2192 2458 1202 6702 1202 1203 1234	CLLDCh2R04S01.0417	CLLD	Conversation	15571	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	417	2	ag.neg	u	415	left	/ta/ 'come'
clldch2r04s01	1	416827	u mai ta yokt a ce e	umaitaoktace	3nsS/A NEG come NEG PST d IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 2192 2460 1202 1203 1234	CLLDCh2R04S01.0415	CLLD	Conversation	15571	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	415	Inf	NA	NA	#NAME?	unknown	/ta/ 'come'
cldlch3r04s07	2	143778	u mai ta mai rett yokt e	umatamareiʔyokte	3nsS/A NEG FOC NEG laugh NEG IND.PST	prefix prefix stem prefix stem suffix suffix	1201 1199 496 1199 411 2460 1234	CLDLCh3R04S07.149	CLDL	Conversation	11315	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	149	Inf	NA	NA	#NAME?	unknown	/rett/ 'laugh'
clldch3r14s03	3	750010	a mai ta cekt yokt e	amatacekyokte	2S/A NEG FOC speak NEG IND.PST	prefix prefix stem stem suffix suffix	654 1199 496 45 2460 1234	CLLDCh3R14S03.335	CLLD	Conversation	13061	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	335	Inf	NA	NA	#NAME?	unknown	/cekt/ 'say'
clldch3r14s03	3	750014	a mai ta cekt yokt e	amatacekyokte	2S/A NEG FOC speak NEG IND.PST	prefix prefix stem stem suffix suffix	654 1199 496 45 2460 1234	CLLDCh3R14S03.337	CLLD	Conversation	13061	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	337	2	ag.neg	a	335	left	/cekt/ 'say'
clldch3r14s01	3	745926	a mai hid th u ŋs e	amaihitoŋse	2S/A NEG be.finished NEG 3P PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	654 1199 126 2458 2459 6702 1234	CLLDCh3R14S01.0280	CLLD	Conversation	13059	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	280	Inf	NA	NA	#NAME?	unknown	/hid/ 'be.finished'
clldch3r14s01	3	746072	a mai hid th u ŋs e ʔ	amaihitoŋseʔ	2S/A NEG be.finished NEG 3P PRF IND.PST EMPH	prefix prefix stem suffix suffix suffix suffix suffix	654 1199 126 2458 2459 6702 1234 6766	CLLDCh3R14S01.0335	CLLD	Conversation	13059	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	335	17	ag.neg	a	318	left	/hid/ 'be.finished'
clldch3r14s01	3	746101	a mai hid th u ŋs e ʔ	amaihitoŋseʔ	2S/A NEG be.finished NEG 3P PRF IND.PST EMPH	prefix prefix stem suffix suffix suffix suffix suffix	654 1199 126 2458 2459 6702 1234 6766	CLLDCh3R14S01.0346	CLLD	Conversation	13059	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	346	11	ag.neg	a	335	left	/hid/ 'be.finished'
clldch3r02s03	3	582848	a mai kat th e ʔ	amakaʔtheʔ	2S/A NEG come.up NEG IND.PST EMPH	prefix prefix stem suffix suffix suffix	654 1199 156 2458 1234 6766	CLLDCh3R02S03.0398	CLLD	Conversation	12595	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	398	Inf	NA	NA	#NAME?	unknown	/kat/ 'come.up'
clldch3r03s02b	3	598849	a mai khag th e	amaikhaŋteʔ	2S/A NEG see NEG IND.PST	prefix prefix stem suffix suffix	654 1199 1366 2458 1234	CLLDCh3R03S02b.0200	CLLD	Conversation	12622	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	200	Inf	NA	NA	#NAME?	unknown	/khag/ 'watch'
clldch3r09s06	3	685219	a ma lus yokt u ce	amaluyoktuce	2S/A NEG tell NEG 3P 3nsP	prefix prefix stem suffix suffix suffix	654 1199 1584 2460 2459 1204	CLLDCh3R09S06.563	CLLD	Conversation	12804	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	563	Inf	NA	NA	#NAME?	unknown	/lus/ 'sing'
clldch3r08s06	3	674692	mai u mett th a k a ce e	maumeʔtakace	NEG 3nsS/A be.big NEG PST IPFV PST d IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1199 1201 1656 2458 1202 ROS38 1202 1203 1234	CLLDCh3R08S06.0737	CLLD	Conversation	12777	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	737	Inf	NA	NA	#NAME?	unknown	/mett/ 'be.long'
clldch3r12s01	3	721947	u mai ŋis yokt e	umaniokte	3nsS/A NEG know NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 335 2460 1234	CLLDCh3R12S01.062	CLLD	Conversation	12924	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	62	Inf	NA	NA	#NAME?	unknown	/ŋis/ 'know'
clldch3r02s04	3	589142	mai u par yakt a go	maiupayaktago	NEG 3nsS/A grow NEG PST NMLZ	prefix prefix stem suffix suffix suffix	1199 1201 349 2460 1202 1119	CLLDCh3R02S04.0261	CLLD	Conversation	12596	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	261	Inf	NA	NA	#NAME?	unknown	/par/ 'grow'
clldch3r02s03	3	582869	u kha patt a ŋs a kha	ukhapattansakha	3sA 1nsP call PST PRF PST NMLZ	prefix prefix stem suffix suffix suffix suffix	1201 655 1842 1202 6702 1202 1335	CLLDCh3R02S03.0404	CLLD	Conversation	12595	u.kha	ag.pat	"ag,pat"	TRUE	u	kha	obj	404	Inf	NA	NA	#NAME?	unknown	/patt/ 'call'
clldch3r02s03	3	586262	a mai pid a ŋs a ŋ e	amapitaŋsehẽ	2S/A NEG give PST PRF PST 1sS/P IND.PST	prefix prefix stem suffix suffix suffix suffix suffix	654 1199 363 1202 6702 1202 2875 1234	CLLDCh3R02S03.1715	CLLD	Conversation	12595	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	1715	314	ag.neg	a	1401	left	/pid/ 'give'
clldch3r14s01	3	746046	a mai tas th e	amatate	2S/A NEG reach NEG IND.PST	prefix prefix stem suffix suffix	654 1199 2206 2458 1234	CLLDCh3R14S01.0318	CLLD	Conversation	13059	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	318	38	ag.neg	a	280	left	/tas/ 'reach'
clldch3r02s03	3	585519	a mai tok yokt e	amaitokokte	2S/A NEG get NEG IND.PST	prefix prefix stem suffix suffix	654 1199 523 2460 1234	CLLDCh3R02S03.1401	CLLD	Conversation	12595	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	1401	1003	ag.neg	a	398	left	/tok/ 'get'
appa_kath_talk	4	267	u mai yug th a yakt e	umaiyuŋtakte	3nsS/A NEG be.there NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 2478 2458 1202 6674 1234	appa_katha_talk.046	adult	Narrative	7231	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	46	Inf	NA	NA	#NAME?	unknown	/yug/ 'sit'
clldch2r02s06	5	394291	a mai loĩs yokt a kha	amailoiyoktakha	2S/A NEG take.out NEG PST NMLZ	prefix prefix stem suffix suffix suffix	654 1199 1566 2460 1202 1335	CLLDCh2R02S06.1124	CLLD	Conversation	16580	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	1124	36	neg.ag	u	1088	right	/loĩs/ 'take.out'
lh_bbb	6	1141944	kha mai u chitt yokt e	khamaiuchiyokte	1nsP NEG 3nsS/A find NEG IND.PST	prefix prefix prefix stem suffix suffix	655 1199 1201 79 2460 1234	LH_BBB.483	adult	Narrative	22428	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	483	1	neg.ag	u	482	right	/chitt/ 'find'
lh_bbb	6	1141943	kha mai u chitt yokt e	khamaiuchiyokte	1nsP NEG 3nsS/A find NEG IND.PST	prefix prefix prefix stem suffix suffix	655 1199 1201 79 2460 1234	LH_BBB.482	adult	Narrative	22428	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	482	Inf	NA	NA	#NAME?	unknown	/chitt/ 'find'
suntala_talk	6	1249510	mai u numd e	maiunumde	NEG 3nsS/A do IND.PST	prefix prefix stem suffix	1199 1201 1781 1234	suntala_talk.52	adult	Conversation	22390	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	52	NA	NA	NA	NA	unknown	/numd/ 'do'
lh_bbb	6	1141001	kha u tett e	khautette	1nseP 3nsS/A apply IND.PST	prefix prefix stem suffix	655 1201 510 1234	LH_BBB.332	adult	Narrative	22428	kha.u	pat.ag	"ag,pat"	FALSE	u	kha	obj	332	Inf	NA	NA	#NAME?	unknown	/tett/ 'attach'
pear_3-1	7	1189565	mai u numd u ŋs u ce e	maiunumduŋsuce	1nsiP 3nsS/A do 3P PRF 3P 3nsP IND.PST	prefix prefix stem suffix suffix suffix suffix suffix	1198 1201 1781 2459 6702 2459 1204 1234	pear_3-1.0119	adult	Experimental	18742	mai1P.u	pat.ag	"ag,pat"	FALSE	u	ma	obj	119	Inf	NA	NA	#NAME?	unknown	/numd/ 'do'
pear_3-1	7	1189916	mai u ta th a ŋs e	maiutataŋse	NEG 3nsS/A come NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	1199 1201 2192 2458 1202 6702 1234	pear_3-1.0274	adult	Experimental	18742	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	274	1	neg.ag	u	273	right	/ta/ 'come'
chambak_int	8	9089	a mai apt th a ŋ ni ŋ a	amaapthaŋnɨŋhã	2S/A NEG shoot NEG IMP 1sS/P 2/3p 1sS/P IMP	prefix prefix stem suffix suffix suffix suffix suffix suffix	654 1199 625 2458 1236 2875 2329 2875 1236	Chambak_int.1213	adult	Conversation	19204	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	1213	8	ag.neg	u	1205	left	/apt/ 'shoot'
